Entity,Code,Year,9.2.2 - Manufacturing employment as a proportion of total employment (%) - SL_TLF_MANF
Cameroon,CMR,2014,10.3
Canada,CAN,2000,15.2
Canada,CAN,2001,14.9
Canada,CAN,2002,15
Canada,CAN,2003,14.5
Canada,CAN,2004,14.4
Canada,CAN,2005,13.7
Canada,CAN,2006,12.8
Canada,CAN,2007,12.1
Canada,CAN,2008,11.3
Canada,CAN,2009,10.4
Canada,CAN,2010,10.1
Canada,CAN,2011,10
Canada,CAN,2012,10
Canada,CAN,2013,9.7
Canada,CAN,2014,9.6
Canada,CAN,2015,9.5
Canada,CAN,2016,9.4
Canada,CAN,2017,9.4
Canada,CAN,2018,9.3
Canada,CAN,2019,9.1
Canada,CAN,2020,9.2
Canada,CAN,2021,9.2
Cape Verde,CPV,2015,6.9
Cape Verde,CPV,2017,9.5
Cape Verde,CPV,2018,9.5
Cape Verde,CPV,2019,9.7
Caribbean,,2000,9.8
Caribbean,,2001,9.3
Caribbean,,2002,9
Caribbean,,2003,9.1
Caribbean,,2004,9.2
Caribbean,,2005,9.1
Caribbean,,2006,9
Caribbean,,2007,9
Caribbean,,2008,8.8
Caribbean,,2009,8
Caribbean,,2010,7.8
Caribbean,,2011,7.7
Caribbean,,2012,8.4
Caribbean,,2013,7.3
Caribbean,,2014,7.2
Caribbean,,2015,7.2
Caribbean,,2016,7.2
Caribbean,,2017,7
Caribbean,,2018,6.9
Caribbean,,2019,6.9
Caribbean,,2020,6.6
Caucasus and Central Asia,,2000,10
Caucasus and Central Asia,,2001,9.8
Caucasus and Central Asia,,2002,9.7
Caucasus and Central Asia,,2003,9.6
Caucasus and Central Asia,,2004,9.6
Caucasus and Central Asia,,2005,9.6
Caucasus and Central Asia,,2006,9.5
Caucasus and Central Asia,,2007,9.6
Caucasus and Central Asia,,2008,9.6
Caucasus and Central Asia,,2009,9.5
Caucasus and Central Asia,,2010,9.5
Caucasus and Central Asia,,2011,9.4
Caucasus and Central Asia,,2012,9.4
Caucasus and Central Asia,,2013,9.4
Caucasus and Central Asia,,2014,9.4
Caucasus and Central Asia,,2015,9.4
Caucasus and Central Asia,,2016,9.5
Caucasus and Central Asia,,2017,10
Caucasus and Central Asia,,2018,10.3
Caucasus and Central Asia,,2019,10.6
Caucasus and Central Asia,,2020,10.6
Cayman Islands,CYM,2005,1
Cayman Islands,CYM,2006,1.1
Cayman Islands,CYM,2007,1.9
Cayman Islands,CYM,2011,3.1
Cayman Islands,CYM,2012,2.7
Cayman Islands,CYM,2013,2.3
Cayman Islands,CYM,2014,1.8
Cayman Islands,CYM,2015,1.1
Central America,,2000,18.6
Central America,,2001,18.2
Central America,,2002,17.8
Central America,,2003,17.4
Central America,,2004,16.8
Central America,,2005,16.6
Central America,,2006,16.3
Central America,,2007,16.1
Central America,,2008,15.6
Central America,,2009,14.8
Central America,,2010,15
Central America,,2011,14.8
Central America,,2012,14.6
Central America,,2013,14.7
Central America,,2014,15.2
Central America,,2015,15.2
Central America,,2016,15.4
Central America,,2017,15.5
Central America,,2018,15.5
Central America,,2019,15.4
Central America,,2020,15.3
Central Asia,,2000,11.5
Central Asia,,2001,11.3
Central Asia,,2002,11.1
Central Asia,,2003,10.9
Central Asia,,2004,10.9
Central Asia,,2005,10.9
Central Asia,,2006,10.9
Central Asia,,2007,10.9
Central Asia,,2008,10.8
Central Asia,,2009,10.7
Central Asia,,2010,10.7
Central Asia,,2011,10.6
Central Asia,,2012,10.5
Central Asia,,2013,10.4
Central Asia,,2014,10.4
Central Asia,,2015,10.5
Central Asia,,2016,10.6
Central Asia,,2017,11.1
Central Asia,,2018,11.4
Central Asia,,2019,11.7
Central Asia,,2020,11.8
Central and Southern Asia,,2000,10.9
Central and Southern Asia,,2001,11.1
Central and Southern Asia,,2002,11.2
Central and Southern Asia,,2003,11.4
Central and Southern Asia,,2004,11.7
Central and Southern Asia,,2005,11.9
Central and Southern Asia,,2006,11.9
Central and Southern Asia,,2007,11.9
Central and Southern Asia,,2008,11.6
Central and Southern Asia,,2009,11.6
Central and Southern Asia,,2010,11.6
Central and Southern Asia,,2011,12.1
Central and Southern Asia,,2012,12.6
Central and Southern Asia,,2013,12.6
Central and Southern Asia,,2014,12.6
Central and Southern Asia,,2015,12.8
Central and Southern Asia,,2016,12.8
Central and Southern Asia,,2017,12.8
Central and Southern Asia,,2018,12.9
Central and Southern Asia,,2019,12.9
Central and Southern Asia,,2020,11.6
Chad,TCD,2018,7
Chile,CHL,2000,14
Chile,CHL,2001,14.3
Chile,CHL,2002,14.1
Chile,CHL,2003,14.1
Chile,CHL,2006,13.5
Chile,CHL,2009,10.3
Chile,CHL,2011,10.2
Chile,CHL,2013,11.4
Chile,CHL,2014,11.3
Chile,CHL,2015,11.2
Chile,CHL,2016,10.9
Chile,CHL,2017,10.8
Chile,CHL,2018,10.4
Chile,CHL,2019,9.9
Chile,CHL,2020,10.1
Chile,CHL,2021,10
"China, Hong Kong Special Administrative Region",,2000,10.4
"China, Hong Kong Special Administrative Region",,2001,10
"China, Hong Kong Special Administrative Region",,2002,8.9
"China, Hong Kong Special Administrative Region",,2003,8.4
"China, Hong Kong Special Administrative Region",,2004,7.1
"China, Hong Kong Special Administrative Region",,2005,6.7
"China, Hong Kong Special Administrative Region",,2006,6.4
"China, Hong Kong Special Administrative Region",,2007,5.8
"China, Hong Kong Special Administrative Region",,2008,5.4
"China, Hong Kong Special Administrative Region",,2009,4.3
"China, Hong Kong Special Administrative Region",,2010,3.8
"China, Hong Kong Special Administrative Region",,2011,3.7
"China, Hong Kong Special Administrative Region",,2012,3.7
"China, Hong Kong Special Administrative Region",,2013,3.4
"China, Hong Kong Special Administrative Region",,2014,3.5
"China, Hong Kong Special Administrative Region",,2015,3
"China, Hong Kong Special Administrative Region",,2016,3.1
"China, Hong Kong Special Administrative Region",,2017,2.9
"China, Hong Kong Special Administrative Region",,2018,2.7
"China, Hong Kong Special Administrative Region",,2019,2.7
"China, Hong Kong Special Administrative Region",,2020,2.8
Colombia,COL,2000,20.2
Colombia,COL,2001,13.3
Colombia,COL,2002,13.4
Colombia,COL,2003,13.4
Colombia,COL,2004,13.9
Colombia,COL,2005,13.7
Colombia,COL,2006,13.1
Colombia,COL,2007,15
Colombia,COL,2008,13.3
Colombia,COL,2009,13.2
Colombia,COL,2010,13
Colombia,COL,2011,13.2
Colombia,COL,2012,13.1
Colombia,COL,2013,12.3
Colombia,COL,2014,12.2
Colombia,COL,2015,12.1
Colombia,COL,2016,11.8
Colombia,COL,2017,12
Colombia,COL,2018,12.3
Colombia,COL,2019,11.8
Colombia,COL,2020,11.1
Comoros,COM,2004,7.3
Comoros,COM,2014,9.5
Congo,COG,2005,16.5
Congo,COG,2009,10.8
Cook Islands,COK,2011,3.9
Cook Islands,COK,2016,2.2
Cook Islands,COK,2019,3.8
Costa Rica,CRI,2000,14.4
Costa Rica,CRI,2001,15
Costa Rica,CRI,2002,14.3
Costa Rica,CRI,2003,14
Costa Rica,CRI,2004,13.9
Costa Rica,CRI,2005,13.7
Costa Rica,CRI,2006,13.3
Costa Rica,CRI,2007,13.1
Costa Rica,CRI,2008,12.2
Costa Rica,CRI,2009,11.9
Costa Rica,CRI,2010,12
Costa Rica,CRI,2011,11
Costa Rica,CRI,2012,9.9
Costa Rica,CRI,2013,9
Costa Rica,CRI,2014,9.3
Costa Rica,CRI,2015,10.9
Costa Rica,CRI,2016,10.2
Costa Rica,CRI,2017,10.1
Costa Rica,CRI,2018,11
Costa Rica,CRI,2019,10.5
Costa Rica,CRI,2020,10.6
Costa Rica,CRI,2021,10.5
Cote d'Ivoire,CIV,2012,5.4
Cote d'Ivoire,CIV,2013,8
Cote d'Ivoire,CIV,2016,5.6
Cote d'Ivoire,CIV,2017,9.1
Croatia,HRV,2001,18.5
Croatia,HRV,2002,20.5
Croatia,HRV,2003,19.7
Croatia,HRV,2004,19.2
Croatia,HRV,2005,18.1
Croatia,HRV,2006,19
Croatia,HRV,2007,19.2
Croatia,HRV,2008,18.6
Croatia,HRV,2009,17.4
Croatia,HRV,2010,16.6
Croatia,HRV,2011,17.3
Croatia,HRV,2012,17.5
Croatia,HRV,2013,17.2
Croatia,HRV,2014,17.2
Croatia,HRV,2015,16.6
Croatia,HRV,2016,17
Croatia,HRV,2017,17
Croatia,HRV,2018,17.3
Croatia,HRV,2019,17.8
Croatia,HRV,2020,17.7
Cuba,CUB,2000,9.8
Cuba,CUB,2001,13.2
Cuba,CUB,2002,13.2
Cuba,CUB,2003,13.2
Cuba,CUB,2004,12.4
Cuba,CUB,2005,12
Cuba,CUB,2006,11
Cuba,CUB,2007,10.8
Cuba,CUB,2008,11
Cuba,CUB,2009,10.5
Cuba,CUB,2010,9.8
Cuba,CUB,2011,10.1
Cuba,CUB,2012,12.4
Cuba,CUB,2013,9.5
Cuba,CUB,2014,9.3
Curacao,CUW,2018,6.7
Cyprus,CYP,2000,12.8
Cyprus,CYP,2001,12.8
Cyprus,CYP,2002,12.2
Cyprus,CYP,2003,11
Cyprus,CYP,2004,10.7
Cyprus,CYP,2005,11.5
Cyprus,CYP,2006,10.4
Cyprus,CYP,2007,9.8
Cyprus,CYP,2008,9.7
Cyprus,CYP,2009,9.1
Cyprus,CYP,2010,8.3
Cyprus,CYP,2011,7.8
Cyprus,CYP,2012,7.5
Cyprus,CYP,2013,7.5
Cyprus,CYP,2014,8.2
Cyprus,CYP,2015,7.8
Cyprus,CYP,2016,7.2
Cyprus,CYP,2017,7.2
Cyprus,CYP,2018,6.9
Cyprus,CYP,2019,7.3
Cyprus,CYP,2020,7.6
Czechia,CZE,2000,27.4
Czechia,CZE,2001,28.1
Czechia,CZE,2002,28
Czechia,CZE,2003,27.8
Czechia,CZE,2004,27.2
Czechia,CZE,2005,27.2
Czechia,CZE,2006,28.2
Czechia,CZE,2007,28.6
Czechia,CZE,2008,27.6
Czechia,CZE,2009,25.2
Czechia,CZE,2010,25.3
Czechia,CZE,2011,26.4
Czechia,CZE,2012,26.6
Czechia,CZE,2013,26
Czechia,CZE,2014,26.7
Czechia,CZE,2015,27.3
Czechia,CZE,2016,27.8
Czechia,CZE,2017,27.9
Czechia,CZE,2018,27.6
Czechia,CZE,2019,27.4
Czechia,CZE,2020,26.7
Democratic Republic of Congo,COD,2005,3.6
Democratic Republic of Congo,COD,2012,5.9
Denmark,DNK,2000,18
Denmark,DNK,2001,18.1
Denmark,DNK,2002,16.2
Denmark,DNK,2003,15.7
Denmark,DNK,2004,15.8
Denmark,DNK,2005,16.1
Denmark,DNK,2006,15.3
Denmark,DNK,2007,15.7
Denmark,DNK,2008,14.8
Denmark,DNK,2009,12.9
Denmark,DNK,2010,12.7
Denmark,DNK,2011,12.7
Denmark,DNK,2012,12.4
Denmark,DNK,2013,12.1
Denmark,DNK,2014,11.9
Denmark,DNK,2015,12
Denmark,DNK,2016,11.9
Denmark,DNK,2017,11.5
Denmark,DNK,2018,11.4
Denmark,DNK,2019,11
Denmark,DNK,2020,11.3
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2000,18.4
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2001,18.1
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2002,17.6
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2003,17.1
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2004,16.7
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2005,16.2
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2006,16
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2007,15.9
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2008,15.3
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2009,14.4
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2010,14.1
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2011,14.1
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2012,14
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2013,13.9
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2014,13.8
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2015,13.7
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2016,13.7
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2017,13.6
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2018,13.6
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2019,13.5
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2020,13.4
Developing regions,,2000,14.1
Developing regions,,2001,14
Developing regions,,2002,13.6
Developing regions,,2003,13.6
Developing regions,,2004,13.9
Developing regions,,2005,14.2
Developing regions,,2006,14.5
Developing regions,,2007,14.8
Developing regions,,2008,14.6
Developing regions,,2009,14.5
Developing regions,,2010,14.6
Developing regions,,2011,14.8
Developing regions,,2012,15
Developing regions,,2013,14.9
Developing regions,,2014,14.8
Developing regions,,2015,14.6
Developing regions,,2016,14.3
Developing regions,,2017,14.1
Developing regions,,2018,14.1
Developing regions,,2019,13.8
Developing regions,,2020,13
Djibouti,DJI,2017,0.2
Dominica,DMA,2001,7.8
Dominican Republic,DOM,2000,17.2
Dominican Republic,DOM,2001,15.6
