Year,Canada,France,Germany,Italy,Japan,United Kingdom,United States
1999,0.07,0.17,0.02,0.03,0.13,0.03,0.09
2000,0.05,0.04,0,0.12,0.04,0.03,0.05
2001,0.07,0.05,0.01,0.02,0.03,0.01,0.05
2002,0.02,0.08,0.04,0.05,0.02,0.02,0.09
2003,0.07,0.04,0,0.06,0.06,0,0.09
2004,0.01,0.04,0,0.04,0.28,0,0.06
2005,0.02,0.05,0.01,0.02,0.09,0.03,1.33
2006,0.03,0.08,0.01,0.03,0.11,0,0.06
2007,0.06,0.04,0.02,0.02,0.04,0.04,0.08
2008,0.06,0.03,0.01,0.03,0.04,0.02,0.08
2009,0.04,0.04,0.01,0.64,0.07,0.01,0.04
2010,0.03,0.11,0.01,0.07,0.02,0,0.06
2011,0.06,0.03,0.01,0.05,14.16,0,0.27
2012,0.02,0.02,0,0.07,0.17,0.01,0.07
2013,0.02,0.04,0.01,0.06,0.08,0.03,0.07
2014,0.03,0.03,0.01,0.06,0.25,0.01,0.07
2015,0.02,0.04,0.01,0.07,0.03,0.01,0.09
2016,0,0.01,0.01,0.53,0.08,0.01,0.08
2017,0.01,0.03,0.01,0.07,0.09,0.02,0.07
2018,0,0.03,0.01,0.04,0.25,0,0.07
2019,0,0,0,0,0.06,0,0.03
2020,,,,,,,
