"","Canada","France","Germany","Japan","Italy","United Kingdom","United States","G7"
"2000-01-01",0.000176395956461336,0.00120078956870296,0.000181966136490514,0.000672968836500712,0.00109063386730455,0.000139519274471351,0.000327292236882589,1.00001055297584
"2001-01-01",0.013789258684182,0.0213558462303116,0.0773173075563809,0.0119473190637226,0.00631138619068155,0.0148666722896496,0.0143993256264929,1.00941518035748
"2002-01-01",0.0122236370462155,0.0130608099843778,0.0355048213571009,0.00618179501537203,0.0104937041458356,0.0321668052211934,0.0467961883751972,1.01669640593777
"2003-01-01",0.0140745931867378,0.0459768696096374,0.0530222312203605,0.0547271582308661,0.0300205061123689,0.0361341186294049,0.0104524899822683,1.02242959984415
"2004-01-01",0.0233975442827348,0.0546762778211943,0.0979161832129692,0.0632238091818314,0.0442437694632342,0.0100317837471829,0.0280557523689365,1.02783511416456
"2005-01-01",0.0456413153690964,0.0511503757378393,0.0114284654419451,0.0793090625804773,0.0723904630047603,0.0657929289195607,0.0132298206389792,1.03755820547801
"2006-01-01",0.0185878137637691,0.0791725239025754,0.0318431450983553,0.0273292290700264,0.0401617038155314,0.00861322995203734,0.0269525669046747,1.01760413641379
"2007-01-01",0.0215437460499796,0.0627686016845629,0.0353524965591565,0.0755245506550764,0.0366642344146423,0.0163472815158988,0.0346149018812351,1.02595881951578
"2008-01-01",0.0191624340658452,0.0458284967511005,0.0232252450483857,0.0892029186441213,0.0168590873172267,0.0263585860019401,0.0421413985634794,1.02918742241074
"2009-01-01",0.0182454136389476,0.00926494660264892,0.0229968077174156,0.026128778809083,0.0241237540404526,0.0230224095410355,0.0393033651368273,1.00770132099005
"2010-01-01",0.0189659494227837,0.043703869306175,0.0827736893581871,0.0213613889875945,0.0110264220518242,0.0241860341713155,0.0730962931676867,1.03357613211785
"2011-01-01",0.0143779249840966,0.0338283307785226,0.0477003816304985,0.124062305482814,0.0147685219475416,0.0149043497648375,0.0353380507929641,1.05181671440803
"2012-01-01",0.0204455709321789,0.0273966615999761,0.0325936133512125,0.17717892329158,0.0139891870547517,0.0154331269765995,0.0462982216448405,1.05872414737163
"2013-01-01",0.0282131499095423,0.0341363472878638,0.0235321425214722,0.0401322859835072,0.0580431158666398,0.0209163145989122,0.0397588015534802,1.02458249603011
"2014-01-01",0.0086703300008279,0.0529121156639293,0.0390339901471769,0.092932610163408,0.0546116082959751,0.0197849857665199,0.0395161947693064,1.03649322073367
"2015-01-01",0.00839249764347939,0.121255473623153,0.0136610540432568,0.0855048956347113,0.00512697966195447,0.036568163375944,0.0299181019169899,1.03817457208085
"2016-01-01",0.0142974876910173,0.0565277800260654,0.0155504180608307,0.126871163159383,0.0210460830996286,0.0108305264204519,0.0185239263171716,1.03507024440246
"2017-01-01",0.0225711398308121,0.0487859871214171,0.0644696472936745,0.0295277806751161,0.0170595908494155,0.0130397987452366,0.0456231701163931,1.01752506352933
"2018-01-01",0.0159456443504356,0.110530155671717,0.0517774248658212,0.0160263027845916,0.0137218014074847,0.0625314477551694,0.0288959683425905,1.02823723190639
"2019-01-01",0.0128312575941692,0.0517127390436967,0.0159226995530786,0.00419098950293993,0.01361388517814,0.00398487381086122,0.0202202944073726,1.00967500939889
"2020-01-01",0.000226951239875928,0.000268878786738697,0,8.71755702579469e-06,0.000322945121610901,5.107732436688e-05,1.15790373529989e-05,1.00000103307167
