Entity,Code,Year,5.5.2 - Proportion of women in senior and middle management positions (%) - IC_GEN_MGTN
South Africa,ZAF,2004,26.8
South Africa,ZAF,2005,30.5
South Africa,ZAF,2006,31.4
South Africa,ZAF,2007,32
South Africa,ZAF,2008,31.5
South Africa,ZAF,2009,33.2
South Africa,ZAF,2010,32.1
South Africa,ZAF,2011,33.7
South Africa,ZAF,2012,34.8
South Africa,ZAF,2013,33.1
South Africa,ZAF,2014,34.3
South Africa,ZAF,2015,33.9
South Africa,ZAF,2016,35.7
South Africa,ZAF,2017,35.2
South Africa,ZAF,2018,33.9
South Africa,ZAF,2019,33.3
South Africa,ZAF,2020,35.1
Spain,ESP,2000,15.6
Spain,ESP,2001,17.6
Spain,ESP,2002,18.1
Spain,ESP,2003,15.8
Spain,ESP,2004,18.9
Spain,ESP,2005,21.5
Spain,ESP,2006,23.2
Spain,ESP,2007,23.8
Spain,ESP,2008,23.8
Spain,ESP,2009,24.7
Spain,ESP,2010,27.1
Spain,ESP,2011,28
Spain,ESP,2012,28.8
Spain,ESP,2013,29.3
Spain,ESP,2014,29.5
Spain,ESP,2015,30.4
Spain,ESP,2016,30.3
Spain,ESP,2017,30.9
Spain,ESP,2018,31.9
Spain,ESP,2019,33.7
Spain,ESP,2020,36.5
Sri Lanka,LKA,2010,23.7
Sri Lanka,LKA,2011,25.4
Sri Lanka,LKA,2013,23.3
Sri Lanka,LKA,2014,24
Sri Lanka,LKA,2015,23.7
Sri Lanka,LKA,2016,25.6
Sri Lanka,LKA,2017,23.2
Sri Lanka,LKA,2018,22.5
Sri Lanka,LKA,2019,25.6
Suriname,SUR,2016,42.2
Sweden,SWE,2000,27.4
Sweden,SWE,2001,31.1
Sweden,SWE,2002,32.3
Sweden,SWE,2003,30.5
Sweden,SWE,2004,31.7
Sweden,SWE,2005,31.8
Sweden,SWE,2006,31.7
Sweden,SWE,2007,31
Sweden,SWE,2008,30.8
Sweden,SWE,2009,31.1
Sweden,SWE,2010,31.3
Sweden,SWE,2011,33.5
Sweden,SWE,2012,34.5
Sweden,SWE,2013,35.5
Sweden,SWE,2014,37.4
Sweden,SWE,2015,39.8
Sweden,SWE,2016,39.5
Sweden,SWE,2017,39.4
Sweden,SWE,2018,39
Sweden,SWE,2019,41.9
Sweden,SWE,2020,43.1
Switzerland,CHE,2000,16.1
Switzerland,CHE,2001,30.1
Switzerland,CHE,2002,44.6
Switzerland,CHE,2003,50.3
Switzerland,CHE,2004,47.8
Switzerland,CHE,2005,41.9
Switzerland,CHE,2006,49.1
Switzerland,CHE,2007,45.4
Switzerland,CHE,2008,44.8
Switzerland,CHE,2009,46.6
Switzerland,CHE,2010,47.1
Switzerland,CHE,2011,28.7
Switzerland,CHE,2012,28.7
Switzerland,CHE,2013,28.4
Switzerland,CHE,2014,28.6
Switzerland,CHE,2015,30.4
Switzerland,CHE,2016,30.8
Switzerland,CHE,2017,28.8
Switzerland,CHE,2018,30.5
Switzerland,CHE,2019,32.5
Switzerland,CHE,2020,31.9
Tajikistan,TJK,2007,13.9
Tajikistan,TJK,2009,16.1
Tanzania,TZA,2001,11.7
Tanzania,TZA,2006,17.5
Tanzania,TZA,2014,17.3
Thailand,THA,2010,24.4
Thailand,THA,2013,27.1
Thailand,THA,2014,29.4
Thailand,THA,2015,29.8
Thailand,THA,2016,29.5
Thailand,THA,2017,30.8
Thailand,THA,2018,30.9
Thailand,THA,2019,31
Thailand,THA,2020,33.2
Timor,TLS,2010,8.6
Timor,TLS,2013,33
Timor,TLS,2016,24.5
Togo,TGO,2017,29.5
Tonga,TON,2018,40.3
Tunisia,TUN,2009,18.3
Tunisia,TUN,2010,19.3
Turkey,TUR,2004,16.5
Turkey,TUR,2005,15.7
Turkey,TUR,2006,17.3
Turkey,TUR,2007,18
Turkey,TUR,2008,19.4
Turkey,TUR,2009,20.1
Turkey,TUR,2010,18.8
Turkey,TUR,2011,13
Turkey,TUR,2012,14.3
Turkey,TUR,2013,16.6
Turkey,TUR,2014,15.5
Turkey,TUR,2015,14.4
Turkey,TUR,2016,16.7
Turkey,TUR,2017,17.3
Turkey,TUR,2018,16.3
Turkey,TUR,2019,17.5
Turkey,TUR,2020,19.3
Tuvalu,TUV,2016,36.7
Uganda,UGA,2012,31.5
Uganda,UGA,2017,25.5
United Arab Emirates,ARE,2017,12.2
United Arab Emirates,ARE,2018,15.8
United Arab Emirates,ARE,2020,17.7
United Kingdom,GBR,2000,34.7
United Kingdom,GBR,2001,29.6
United Kingdom,GBR,2002,31.4
United Kingdom,GBR,2003,31.5
United Kingdom,GBR,2004,32.5
United Kingdom,GBR,2005,33.6
United Kingdom,GBR,2006,34.3
United Kingdom,GBR,2007,34.4
United Kingdom,GBR,2008,34.8
United Kingdom,GBR,2009,35.4
United Kingdom,GBR,2010,36
United Kingdom,GBR,2011,32.1
United Kingdom,GBR,2012,32.4
United Kingdom,GBR,2013,32.3
United Kingdom,GBR,2014,32.9
United Kingdom,GBR,2015,32.4
United Kingdom,GBR,2016,33.8
United Kingdom,GBR,2017,34.4
United Kingdom,GBR,2018,34.2
United Kingdom,GBR,2019,34.9
United States,USA,2003,37.4
United States,USA,2004,37.3
United States,USA,2005,37.6
United States,USA,2006,37
United States,USA,2007,38
United States,USA,2008,38
United States,USA,2009,38.1
United States,USA,2010,38.8
United States,USA,2011,38.6
United States,USA,2012,39.1
United States,USA,2013,38.8
United States,USA,2014,38.8
United States,USA,2015,39.4
United States,USA,2016,39.7
United States,USA,2017,40.5
United States,USA,2018,40.5
United States,USA,2019,40.9
United States,USA,2020,42.3
United States,USA,2021,43.2
Uruguay,URY,2000,20.3
Uruguay,URY,2001,15.1
Uruguay,URY,2002,13.7
Uruguay,URY,2003,13.3
Uruguay,URY,2004,11.4
Uruguay,URY,2005,17.3
Uruguay,URY,2006,23.4
Uruguay,URY,2007,22.1
Uruguay,URY,2008,17.9
Uruguay,URY,2009,22.5
Uruguay,URY,2010,23.7
Uruguay,URY,2011,31.2
Uruguay,URY,2012,36.5
Uruguay,URY,2013,34.2
Uruguay,URY,2014,31.8
Uruguay,URY,2015,34
Uruguay,URY,2016,33.7
Uruguay,URY,2017,35.1
Uruguay,URY,2018,37.3
Uruguay,URY,2019,36.5
Uruguay,URY,2020,39.9
Vanuatu,VUT,2006,15.7
Vanuatu,VUT,2009,28.5
Vanuatu,VUT,2010,20.8
Vanuatu,VUT,2019,22.6
Vietnam,VNM,2007,16.3
Vietnam,VNM,2021,19.4
Yemen,YEM,2014,4.5
Zambia,ZMB,2017,28.5
Zambia,ZMB,2018,40.3
Zambia,ZMB,2019,30
Zimbabwe,ZWE,2011,22.8
Zimbabwe,ZWE,2019,28.1
