"","Canada","France","Germany","Japan","Italy","United Kingdom","United States"
"2000-01-01",0.611111111111111,0.722222222222222,0.722222222222222,0.555555555555556,0.777777777777778,0.5,0.666666666666667
"2001-01-01",0.515151515151515,0.575757575757576,0.545454545454545,0.606060606060606,0.575757575757576,0.515151515151515,0.515151515151515
"2002-01-01",0.548387096774194,0.419354838709677,0.548387096774194,0.612903225806452,0.612903225806452,0.548387096774194,0.580645161290323
"2003-01-01",0.575757575757576,0.484848484848485,0.545454545454545,0.545454545454545,0.484848484848485,0.333333333333333,0.545454545454545
"2004-01-01",0.46875,0.75,0.75,0.625,0.625,0.6875,0.375
"2005-01-01",0.666666666666667,0.545454545454545,0.636363636363636,0.696969696969697,0.636363636363636,0.636363636363636,0.515151515151515
"2006-01-01",0.606060606060606,0.636363636363636,0.666666666666667,0.636363636363636,0.666666666666667,0.545454545454545,0.696969696969697
"2007-01-01",0.545454545454545,0.757575757575758,0.666666666666667,0.606060606060606,0.666666666666667,0.484848484848485,0.454545454545455
"2008-01-01",0.606060606060606,0.515151515151515,0.484848484848485,0.545454545454545,0.393939393939394,0.545454545454545,0.606060606060606
"2009-01-01",0.545454545454545,0.454545454545455,0.515151515151515,0.515151515151515,0.575757575757576,0.636363636363636,0.636363636363636
"2010-01-01",0.515151515151515,0.545454545454545,0.666666666666667,0.484848484848485,0.606060606060606,0.606060606060606,0.606060606060606
"2011-01-01",0.666666666666667,0.757575757575758,0.606060606060606,0.666666666666667,0.636363636363636,0.545454545454545,0.606060606060606
"2012-01-01",0.606060606060606,0.454545454545455,0.515151515151515,0.545454545454545,0.515151515151515,0.666666666666667,0.606060606060606
"2013-01-01",0.53125,0.59375,0.46875,0.65625,0.65625,0.65625,0.59375
"2014-01-01",0.545454545454545,0.575757575757576,0.484848484848485,0.818181818181818,0.696969696969697,0.636363636363636,0.545454545454545
"2015-01-01",0.633333333333333,0.5,0.533333333333333,0.733333333333333,0.6,0.466666666666667,0.566666666666667
"2016-01-01",0.586206896551724,0.517241379310345,0.413793103448276,0.620689655172414,0.586206896551724,0.379310344827586,0.551724137931034
"2017-01-01",0.724137931034483,0.551724137931034,0.620689655172414,0.724137931034483,0.551724137931034,0.517241379310345,0.586206896551724
"2018-01-01",0.62962962962963,0.666666666666667,0.592592592592593,0.666666666666667,0.518518518518518,0.37037037037037,0.555555555555556
"2019-01-01",0.666666666666667,0.75,0.541666666666667,0.583333333333333,0.541666666666667,0.458333333333333,0.541666666666667
"2020-01-01",0.4,0.6,0.4,0.6,0.5,0.5,0.5
