Entity,Code,Year,"8.8.1 - Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees) - SL_EMP_INJUR - Both sexes - No breakdown"
Tunisia,TUN,2002,4005.1
Tunisia,TUN,2003,3627.4
Tunisia,TUN,2004,3639.1
Turkey,TUR,2000,35.1
Turkey,TUR,2001,44.6
Turkey,TUR,2002,40
Turkey,TUR,2003,28.4
Turkey,TUR,2004,27.4
Turkey,TUR,2005,24
Turkey,TUR,2006,29
Turkey,TUR,2007,23
Turkey,TUR,2008,762.7
Turkey,TUR,2009,654.3
Turkey,TUR,2010,578.9
Turkey,TUR,2011,584.6
Turkey,TUR,2012,578.4
Turkey,TUR,2013,1168.8
Turkey,TUR,2014,1275.9
Turkey,TUR,2015,1323.7
Turkey,TUR,2016,1530.3
Turkey,TUR,2017,1812
Turkey,TUR,2018,2203.1
Turkey,TUR,2019,2170.4
Turkey,TUR,2020,1846.8
Ukraine,UKR,2000,253
Ukraine,UKR,2001,258
Ukraine,UKR,2002,216
Ukraine,UKR,2003,205
Ukraine,UKR,2004,186
Ukraine,UKR,2005,172
Ukraine,UKR,2006,160
Ukraine,UKR,2007,155
Ukraine,UKR,2008,135
Ukraine,UKR,2009,112.6
Ukraine,UKR,2010,112.2
Ukraine,UKR,2011,100.5
Ukraine,UKR,2012,91.8
Ukraine,UKR,2013,85.4
Ukraine,UKR,2014,51.2
Ukraine,UKR,2015,51.1
Ukraine,UKR,2016,51.8
Ukraine,UKR,2017,53.5
Ukraine,UKR,2018,49.1
Ukraine,UKR,2019,53.5
Ukraine,UKR,2020,85.1
United Kingdom,GBR,2000,645.2
United Kingdom,GBR,2001,623.3
United Kingdom,GBR,2002,614.5
United Kingdom,GBR,2003,630
United Kingdom,GBR,2004,585
United Kingdom,GBR,2005,562
United Kingdom,GBR,2006,514.6
United Kingdom,GBR,2009,912.8
United Kingdom,GBR,2010,906
United Kingdom,GBR,2011,864.7
United Kingdom,GBR,2012,776.3
United Kingdom,GBR,2013,831.5
United Kingdom,GBR,2014,827.1
United Kingdom,GBR,2015,759.6
United Kingdom,GBR,2016,348
United Kingdom,GBR,2017,341
United Kingdom,GBR,2018,335
United States,USA,2003,1500
United States,USA,2004,1400
United States,USA,2005,1400
United States,USA,2006,1300
United States,USA,2007,1200
United States,USA,2008,1046.8
United States,USA,2009,1100
United States,USA,2010,1100
United States,USA,2011,1000
United States,USA,2012,1000
United States,USA,2013,1000
United States,USA,2014,1000
United States,USA,2015,900
United States,USA,2016,900
United States,USA,2017,900
United States,USA,2018,900
Uruguay,URY,2018,2654.3
Uzbekistan,UZB,2009,50
Uzbekistan,UZB,2010,76.8
Uzbekistan,UZB,2011,40.1
Uzbekistan,UZB,2012,55.1
Uzbekistan,UZB,2013,41.9
Uzbekistan,UZB,2014,45.1
Uzbekistan,UZB,2015,38
Uzbekistan,UZB,2016,38
Uzbekistan,UZB,2017,33
Uzbekistan,UZB,2018,34
Uzbekistan,UZB,2019,36
Zimbabwe,ZWE,2000,1225.4
Zimbabwe,ZWE,2001,1392
Zimbabwe,ZWE,2002,703.3
Zimbabwe,ZWE,2003,1251
Zimbabwe,ZWE,2004,746.8
Zimbabwe,ZWE,2005,634.9
Zimbabwe,ZWE,2006,779.5
Zimbabwe,ZWE,2007,555.8
Zimbabwe,ZWE,2011,391.1
Zimbabwe,ZWE,2012,480.1
