Entity,Code,Year,3.8.1 - Universal health coverage (UHC) service coverage index - SH_ACS_UNHC
Uganda,UGA,2015,45
Uganda,UGA,2017,48
Uganda,UGA,2019,50
Ukraine,UKR,2000,48
Ukraine,UKR,2005,51
Ukraine,UKR,2010,59
Ukraine,UKR,2015,63
Ukraine,UKR,2017,70
Ukraine,UKR,2019,73
United Arab Emirates,ARE,2000,51
United Arab Emirates,ARE,2005,76
United Arab Emirates,ARE,2010,74
United Arab Emirates,ARE,2015,79
United Arab Emirates,ARE,2017,77
United Arab Emirates,ARE,2019,78
United Kingdom,GBR,2000,74
United Kingdom,GBR,2005,80
United Kingdom,GBR,2010,84
United Kingdom,GBR,2015,87
United Kingdom,GBR,2017,87
United Kingdom,GBR,2019,88
United States,USA,2000,76
United States,USA,2005,79
United States,USA,2010,80
United States,USA,2015,81
United States,USA,2017,82
United States,USA,2019,83
Uruguay,URY,2000,65
Uruguay,URY,2005,68
Uruguay,URY,2010,74
Uruguay,URY,2015,78
Uruguay,URY,2017,78
Uruguay,URY,2019,79
Uzbekistan,UZB,2000,52
Uzbekistan,UZB,2005,52
Uzbekistan,UZB,2010,63
Uzbekistan,UZB,2015,67
Uzbekistan,UZB,2017,69
Uzbekistan,UZB,2019,71
Vanuatu,VUT,2000,40
Vanuatu,VUT,2005,39
Vanuatu,VUT,2010,48
Vanuatu,VUT,2015,49
Vanuatu,VUT,2017,50
Vanuatu,VUT,2019,52
Venezuela,VEN,2000,52
Venezuela,VEN,2005,61
Venezuela,VEN,2010,66
Venezuela,VEN,2015,71
Venezuela,VEN,2017,69
Venezuela,VEN,2019,70
Vietnam,VNM,2000,40
Vietnam,VNM,2005,45
Vietnam,VNM,2010,59
Vietnam,VNM,2015,66
Vietnam,VNM,2017,68
Vietnam,VNM,2019,70
Western Africa,,2000,20
Western Africa,,2005,27
Western Africa,,2010,36
Western Africa,,2015,40
Western Africa,,2017,41
Western Africa,,2019,44
Western Asia,,2000,54
Western Asia,,2005,58
Western Asia,,2010,61
Western Asia,,2015,65
Western Asia,,2017,66
Western Asia,,2019,67
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2000,54
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2005,58
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2010,60
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2015,64
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2017,66
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2019,67
Western Europe,,2000,78
Western Europe,,2005,80
Western Europe,,2010,82
Western Europe,,2015,84
Western Europe,,2017,85
Western Europe,,2019,85
World,OWID_WRL,2000,45
World,OWID_WRL,2005,50
World,OWID_WRL,2010,58
World,OWID_WRL,2015,64
World,OWID_WRL,2017,66
World,OWID_WRL,2019,68
Yemen,YEM,2000,31
Yemen,YEM,2005,32
Yemen,YEM,2010,41
Yemen,YEM,2015,43
Yemen,YEM,2017,44
Yemen,YEM,2019,44
Zambia,ZMB,2000,30
Zambia,ZMB,2005,35
Zambia,ZMB,2010,45
Zambia,ZMB,2015,50
Zambia,ZMB,2017,52
Zambia,ZMB,2019,55
Zimbabwe,ZWE,2000,32
Zimbabwe,ZWE,2005,33
Zimbabwe,ZWE,2010,47
Zimbabwe,ZWE,2015,55
Zimbabwe,ZWE,2017,56
Zimbabwe,ZWE,2019,55
