Entity,Code,Year,6.5.1 - Degree of integrated water resources management implementation (%) - ER_H2O_IWRMD
Kuwait,KWT,2020,94
Kyrgyzstan,KGZ,2020,31
Landlocked developing countries (LLDCs),,2017,41
Latin America and the Caribbean,,2017,35
Latin America and the Caribbean,,2020,37
Latvia,LVA,2017,64
Latvia,LVA,2020,62
Least developed countries (LDCs),,2017,37
Lebanon,LBN,2017,32
Lebanon,LBN,2020,25
Lesotho,LSO,2017,33
Lesotho,LSO,2020,45
Liberia,LBR,2017,15
Liberia,LBR,2020,15
Libya,LBY,2017,47
Libya,LBY,2020,60
Liechtenstein,LIE,2017,70
Liechtenstein,LIE,2020,72
Lithuania,LTU,2017,57
Lithuania,LTU,2020,61
Luxembourg,LUX,2017,90
Luxembourg,LUX,2020,89
Madagascar,MDG,2017,36
Madagascar,MDG,2020,38
Malawi,MWI,2017,40
Malawi,MWI,2020,55
Malaysia,MYS,2017,43
Malaysia,MYS,2020,63
Maldives,MDV,2017,35
Maldives,MDV,2020,42
Mali,MLI,2017,53
Mali,MLI,2020,52
Malta,MLT,2017,75
Malta,MLT,2020,86
Marshall Islands,MHL,2017,33
Marshall Islands,MHL,2020,36
Mauritania,MRT,2017,45
Mauritania,MRT,2020,47
Mauritius,MUS,2017,64
Mauritius,MUS,2020,68
Melanesia,OWID_MNS,2017,26
Melanesia,OWID_MNS,2020,22
Mexico,MEX,2017,49
Mexico,MEX,2020,42
Micronesia (country),FSM,2017,38
Micronesia (country),FSM,2020,49
Middle Africa,,2017,32
Middle Africa,,2020,40
Moldova,MDA,2017,32
Moldova,MDA,2020,46
Monaco,MCO,2017,90
Monaco,MCO,2020,94
Mongolia,MNG,2017,43
Mongolia,MNG,2020,45
Montenegro,MNE,2017,34
Montenegro,MNE,2020,35
Morocco,MAR,2017,64
Morocco,MAR,2020,71
Mozambique,MOZ,2017,55
Mozambique,MOZ,2020,62
Myanmar,MMR,2017,27
Myanmar,MMR,2020,33
Namibia,NAM,2017,59
Namibia,NAM,2020,53
Nepal,NPL,2017,33
Nepal,NPL,2020,37
Netherlands,NLD,2017,93
Netherlands,NLD,2020,92
New Zealand,NZL,2017,58
New Zealand,NZL,2020,65
Nicaragua,NIC,2020,30
Niger,NER,2017,50
Niger,NER,2020,53
Nigeria,NGA,2017,35
Nigeria,NGA,2020,44
North Korea,PRK,2017,38
North Korea,PRK,2020,63
North Macedonia,MKD,2017,22
North Macedonia,MKD,2020,33
Northern Africa,,2017,49
Northern Africa and Western Asia,,2017,55
Northern Africa and Western Asia,,2020,60
Northern America,,2017,0
Northern Europe,,2017,74
Northern Europe,,2020,77
Norway,NOR,2017,63
Norway,NOR,2020,68
Oceania,,2017,45
Oceania,,2020,49
Oceania (exc. Australia and New Zealand),,2017,38
Oman,OMN,2017,33
Oman,OMN,2020,79
Pakistan,PAK,2017,50
Pakistan,PAK,2020,56
Panama,PAN,2017,37
Panama,PAN,2020,33
Papua New Guinea,PNG,2017,25
Papua New Guinea,PNG,2020,19
Paraguay,PRY,2017,32
Paraguay,PRY,2020,27
Peru,PER,2017,30
Peru,PER,2020,41
Philippines,PHL,2017,51
Philippines,PHL,2020,56
Poland,POL,2017,40
Poland,POL,2020,74
Portugal,PRT,2017,74
Portugal,PRT,2020,72
Qatar,QAT,2017,82
Qatar,QAT,2020,81
Romania,ROU,2017,72
Romania,ROU,2020,77
Russia,RUS,2017,79
Russia,RUS,2020,88
Rwanda,RWA,2017,35
Rwanda,RWA,2020,66
Saint Kitts and Nevis,KNA,2017,22
Saint Kitts and Nevis,KNA,2020,23
Saint Lucia,LCA,2017,40
Saint Lucia,LCA,2020,40
Saint Vincent and the Grenadines,VCT,2020,24
Samoa,WSM,2017,70
Samoa,WSM,2020,75
San Marino,SMR,2017,66
San Marino,SMR,2020,66
Sao Tome and Principe,STP,2017,23
Sao Tome and Principe,STP,2020,33
Saudi Arabia,SAU,2017,57
Saudi Arabia,SAU,2020,57
Senegal,SEN,2017,53
Senegal,SEN,2020,50
Serbia,SRB,2017,30
Serbia,SRB,2020,36
Seychelles,SYC,2017,45
Seychelles,SYC,2020,55
Sierra Leone,SLE,2017,19
Sierra Leone,SLE,2020,36
Singapore,SGP,2017,100
Singapore,SGP,2020,100
Slovakia,SVK,2017,66
Slovakia,SVK,2020,61
Slovenia,SVN,2017,58
Slovenia,SVN,2020,87
Small Island Developing States (SIDS),,2017,38
Solomon Islands,SLB,2017,26
Solomon Islands,SLB,2020,30
Somalia,SOM,2017,10
Somalia,SOM,2020,22
South Africa,ZAF,2017,65
South Africa,ZAF,2020,71
South America,,2017,44
South America,,2020,52
South Korea,KOR,2017,68
South Korea,KOR,2020,76
South Sudan,SSD,2017,38
South Sudan,SSD,2020,43
South-eastern Asia,,2017,46
Southern Africa,,2017,58
Southern Africa,,2020,60
Southern Asia,,2017,37
Southern Europe,,2017,69
Southern Europe,,2020,76
Spain,ESP,2017,82
Spain,ESP,2020,87
Sri Lanka,LKA,2017,25
Sri Lanka,LKA,2020,47
Sub-Saharan Africa,,2017,40
Sub-Saharan Africa,,2020,46
Sudan,SDN,2017,40
Sudan,SDN,2020,34
Suriname,SUR,2017,15
Suriname,SUR,2020,23
Sweden,SWE,2017,89
Sweden,SWE,2020,86
Switzerland,CHE,2017,81
Switzerland,CHE,2020,81
Syria,SYR,2020,56
Tajikistan,TJK,2020,46
Tanzania,TZA,2017,50
Tanzania,TZA,2020,54
Thailand,THA,2020,53
Timor,TLS,2017,14
Timor,TLS,2020,14
Togo,TGO,2017,32
Togo,TGO,2020,34
Tonga,TON,2017,30
Tonga,TON,2020,35
Trinidad and Tobago,TTO,2017,25
Trinidad and Tobago,TTO,2020,34
Tunisia,TUN,2017,55
Tunisia,TUN,2020,60
Turkey,TUR,2017,70
Turkey,TUR,2020,72
Turkmenistan,TKM,2020,64
Tuvalu,TUV,2017,47
Tuvalu,TUV,2020,45
Uganda,UGA,2017,59
Uganda,UGA,2020,62
Ukraine,UKR,2017,39
Ukraine,UKR,2020,39
United Arab Emirates,ARE,2017,75
United Arab Emirates,ARE,2020,79
United Kingdom,GBR,2017,77
United Kingdom,GBR,2020,79
United States,USA,2020,77
Uruguay,URY,2020,34
Uzbekistan,UZB,2017,45
Uzbekistan,UZB,2020,48
Vanuatu,VUT,2017,39
Vanuatu,VUT,2020,45
Vietnam,VNM,2017,38
Vietnam,VNM,2020,52
Western Africa,,2017,45
Western Africa,,2020,48
Western Asia,,2017,57
Western Europe,,2017,94
Western Europe,,2020,94
World,OWID_WRL,2017,49
World,OWID_WRL,2020,54
Yemen,YEM,2017,39
Yemen,YEM,2020,36
Zambia,ZMB,2017,46
Zambia,ZMB,2020,58
Zimbabwe,ZWE,2017,61
Zimbabwe,ZWE,2020,63
