Year,Canada,France,Germany,Italy,Japan,United Kingdom,United States
1999,,,,,,,
2000,2.4,1.3,2.4,2.4,3.1,2,2.6
2001,0.2,-0.2,1.2,-0.2,1,1.8,0.9
2002,1.1,0,0.5,-1.7,1.4,1.5,2.1
2003,1.3,-1.7,0.2,-1.9,1.8,2.2,2.6
2004,2.2,2.9,2.7,-1.2,1.9,1.2,2.6
2005,3.5,0.4,-1.7,1.2,1.1,1.5,1.8
2006,2.3,1.9,1.7,0.4,0.9,1.6,1.1
2007,4.3,0.7,0.9,1.1,1.2,1.4,1
2008,-0.6,-1.1,-0.3,-1.3,-0.7,-1.5,0
2009,-1.4,-2,-5.7,-3.3,-4,-3,1
2010,1.6,1.7,3.3,2.5,4.6,1.6,2.9
2011,1.6,2,1.3,0.4,-0.2,0.8,0.7
2012,0.6,0,-0.3,-2.9,1.7,0.2,0.8
2013,0.9,0.7,-0.5,-0.1,1.1,0.8,0.8
2014,2.2,1.4,1.4,-0.5,-0.2,0.5,0.8
2015,-0.2,0.9,1.1,-0.4,0.7,0.7,1.5
2016,0.2,0.6,-0.1,-0.3,-0.4,0.3,0.1
2017,1.2,1.4,1.5,0.3,1.1,0.7,0.8
2018,1.5,1,0.4,-0.1,-1.6,0.1,1.6
2019,0.3,1,-1,-0.5,-0.6,0.3,0.7
2020,0.2,-7.7,-3.9,-7.2,-3.9,-9,2.5
