"","canada","france","germany","japan","italy","united_kingdom","united_states"
"1995",0.304482072400188,0.44632670446707,0.375294884529426,0.456779585023315,0,0.289142041221753,0.536744164390365
"1996",0.315072048395552,0.442010353723478,0.594087996302734,0.41095953011616,0.0132861862980438,0.321906126700328,0.558644945230803
"1997",0.35962979058025,0.434503731755098,0.614741122423641,0.478989908396104,0.0828823841845322,0.293805872858207,0.587984231437795
"1998",0.398959799133626,0.456162224429545,0.617831374334354,0.49696061998179,0.110329063543305,0.332083091907403,0.585476850702205
"1999",0.424047402256988,0.461137323069282,0.61251655492095,0.472527453577242,0.144580505201004,0.395439291725299,0.587272024942748
"2000",0.463016996385509,0.47258867229534,0.705248254835417,0.489930814226195,0.245542242639958,0.472346384129349,0.611732782882212
"2001",0.497651270590183,0.485392006732335,0.640736659492868,0.561419618960903,0.248305707308998,0.4116846701432,0.662631404685043
"2002",0.553941450762906,0.506318461496013,0.656581098419005,0.565808397483652,0.284412679689871,0.43680417597881,0.701841562508622
"2003",0.598458667880694,0.491704432580084,0.658803079215297,0.594837278922827,0.27237845928869,0.444013326711365,0.724866698396932
"2004",0.650188484672902,0.511187505173413,0.638527612228568,0.707052051430621,0.345433945865408,0.474526115387799,0.754630204453274
"2005",0.672971332395221,0.511934201087106,0.658315916176917,0.738971146152361,0.379753504124934,0.48752345280468,0.756268451838976
"2006",0.679731258449907,0.506519362359628,0.680002862621748,0.745799188808873,0.385370105951494,0.514237232017217,0.805854751262313
"2007",0.702647752669481,0.504295657092404,0.721155636950584,0.776881915128439,0.360114366912231,0.516821351709296,0.803410313715752
"2008",0.71697896835251,0.493293532544215,0.72764395883343,0.767048119636896,0.397049085340618,0.486812108545098,0.794996620036973
"2009",0.726686015230527,0.492666687360318,0.742528729685732,0.760969359600475,0.386326325083464,0.548260181276384,0.774653036448418
"2010",0.735537724526115,0.489835106089452,0.728769176116767,0.833272976850702,0.419089548326573,0.537241674254339,0.799680283089148
"2011",0.750890689236542,0.510297678172337,0.766149670281158,0.864033227105924,0.387778329608476,0.560440981706812,0.842133308500952
"2012",0.764761471180642,0.503103185442706,0.78594400987777,0.892381804762299,0.351541159672213,0.56192316447314,0.895185794498248
"2013",0.765484886736749,0.511196989763541,0.824047057362801,0.898987390668543,0.341609931572993,0.58876196782827,0.955751800347654
"2014",0.782207943602903,0.516632522142207,0.858035517203322,0.912818509781199,0.341148635598598,0.58876196782827,1
"2015",NA,NA,NA,NA,NA,NA,NA
"2016",NA,NA,NA,NA,NA,NA,NA
"2017",NA,NA,NA,NA,NA,NA,NA
"2018",NA,NA,NA,NA,NA,NA,NA
"2019",NA,NA,NA,NA,NA,NA,NA
"2020",NA,NA,NA,NA,NA,NA,NA
"2021",NA,NA,NA,NA,NA,NA,NA
"2022",NA,NA,NA,NA,NA,NA,NA
